Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Afghanistan,92 (1 -- 306),Unsure,0.9 (0.4 -- 1.5),-0.04 (-0.18 -- 0.13),-18.4 (5.2 -- -3.9)
Albania,168 (53 -- 334),Unsure,1.1 (0.7 -- 1.5),0.02 (-0.07 -- 0.13),34.8 (5.3 -- -10)
Algeria,1037 (74 -- 2310),Unsure,1 (0.6 -- 1.3),0.01 (-0.1 -- 0.09),51.6 (7.9 -- -6.8)
Andorra,27 (0 -- 645),Unsure,1.3 (0 -- 3),0.07 (-0.34 -- 0.48),10 (1.4 -- -2.1)
Angola,66 (1 -- 148),Unsure,1.1 (0.6 -- 1.4),0.03 (-0.1 -- 0.12),23.4 (5.9 -- -6.6)
Antigua & Barbuda,3 (0 -- 102),Unsure,1.1 (0 -- 2.5),0.02 (-0.32 -- 0.41),38.8 (1.7 -- -2.2)
Argentina,13363 (54 -- 36860),Unsure,1.1 (0.7 -- 1.5),0.04 (-0.09 -- 0.15),17.6 (4.8 -- -8.1)
Armenia,417 (12 -- 1063),Unsure,0.9 (0.5 -- 1.3),-0.02 (-0.15 -- 0.08),-37.1 (8.5 -- -4.6)
Aruba,2 (0 -- 16),Unsure,1.2 (0.1 -- 1.8),0.05 (-0.27 -- 0.22),14.2 (3.1 -- -2.6)
Australia,978 (336 -- 1784),Likely increasing,1.2 (0.8 -- 1.5),0.05 (-0.05 -- 0.13),15.3 (5.5 -- -14.6)
Austria,256 (71 -- 459),Unsure,1.1 (0.8 -- 1.3),0.03 (-0.06 -- 0.09),25.4 (7.8 -- -12.5)
Azerbaijan,400 (101 -- 805),Unsure,0.9 (0.6 -- 1.2),-0.03 (-0.1 -- 0.07),-27.3 (9.9 -- -6.7)
Bahamas,221 (4 -- 720),Likely increasing,1.5 (0.5 -- 2.4),0.13 (-0.12 -- 0.37),5.5 (1.9 -- -5.8)
Bahrain,470 (60 -- 956),Unsure,0.9 (0.6 -- 1.2),-0.02 (-0.11 -- 0.06),-39.7 (11 -- -6.4)
