region,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
Maldives,10.1956691210721,1831440799.41138,10.1956691210721,1816724902.97223,New confirmed cases by infection date,Increasing
United States,41887.5864855344,140264.311877815,68059.7336730602,105488.642908222,New confirmed cases by infection date,Unsure
India,57619.3029880552,139615.885631651,81156.5395060727,109344.212531743,New confirmed cases by infection date,Likely increasing
Brazil,23812.2310353958,113646.569239367,42923.0476534984,72563.4709976705,New confirmed cases by infection date,Unsure
Argentina,54.4279440068526,36859.9950963132,2533.89852493976,14588.8769755871,New confirmed cases by infection date,Unsure
Colombia,5390.31799944801,31944.9459251179,11316.7129193308,20953.6416311712,New confirmed cases by infection date,Likely increasing
Peru,2262.69918984329,19084.4365794079,4921.36831365198,8899.02384427419,New confirmed cases by infection date,Unsure
South Africa,3067.71517005928,18043.809182978,6606.49341562428,12342.876352163,New confirmed cases by infection date,Likely decreasing
Mexico,3994.14547044078,15851.9027626181,6936.69834202757,11260.76059503,New confirmed cases by infection date,Unsure
Russia,1153.41150790232,15045.9643269179,4007.09463013583,8616.82644175594,New confirmed cases by infection date,Unsure
Spain,29.5685890824297,12554.6929532076,1039.14883004366,4071.83494318473,New confirmed cases by infection date,Likely increasing
Chile,46.2218878645701,11251.0481676375,551.610640764607,3449.47742180337,New confirmed cases by infection date,Unsure
Zambia,2.41552810703228,9259.93898823816,64.8449594925434,978.677231434899,New confirmed cases by infection date,Likely increasing
Iraq,1026.32238994191,7996.32810462131,2228.99602376652,4585.9371306923,New confirmed cases by infection date,Unsure
Ethiopia,75.606520815253,7193.35394798574,467.888159763054,2020.32406621245,New confirmed cases by infection date,Likely increasing
Philippines,1240.32549991528,7077.68448345663,2674.33724027233,4992.09061827147,New confirmed cases by infection date,Unsure
Iran,1561.53009025092,6901.62496452875,2310.69554775208,4072.47324996174,New confirmed cases by infection date,Unsure
Morocco,174.561210297527,6672.13549946421,662.69781710416,2420.17204385071,New confirmed cases by infection date,Likely increasing
Bangladesh,1171.18658762864,6193.05408306383,2160.40447413804,3959.30534305094,New confirmed cases by infection date,Unsure
Lesotho,0.00443508846580632,5413.05022827037,0.00443508846580632,261.630475183044,New confirmed cases by infection date,Unsure
France,22.0594611686973,5258.91942058847,248.325658984854,1532.95939590865,New confirmed cases by infection date,Unsure
Israel,915.739805808171,5166.68231631975,1777.46272580292,3425.55442227731,New confirmed cases by infection date,Unsure
Romania,1228.09689847877,4985.58143353188,1977.93881718562,3315.43139115683,New confirmed cases by infection date,Likely increasing
Kazakhstan,102.187251086783,4782.18137865604,528.783290338315,1977.03442093386,New confirmed cases by infection date,Unsure
Equatorial Guinea,1.00000015202436e-05,4586.03821633178,1.00000015202436e-05,0.0269560346204151,New confirmed cases by infection date,Unsure
Ghana,84.6357790225496,4491.17226170027,483.262871073722,1907.1684097728,New confirmed cases by infection date,Unsure
Indonesia,731.881846365588,4375.06169925006,1756.51699017917,3026.42464710366,New confirmed cases by infection date,Unsure
Ukraine,8.53610204160478,4208.50692618952,114.492156184802,1381.92130076753,New confirmed cases by infection date,Unsure
Kyrgyzstan,7.52869354665347,4181.6309788291,7.52869354665347,1442.7700113234,New confirmed cases by infection date,Unsure
Saudi Arabia,526.205936903232,4106.95522507379,1121.21590379259,2341.5565447448,New confirmed cases by infection date,Unsure
Bolivia,696.36785768451,3560.54304441468,1283.1748180214,2362.36536139967,New confirmed cases by infection date,Unsure
Japan,772.166591758535,3558.35659343047,1610.70787743151,2568.08801527991,New confirmed cases by infection date,Likely increasing
Dominican Republic,924.632080906267,3553.51276573477,1792.36068005054,2799.51720975323,New confirmed cases by infection date,Unsure
Ecuador,136.59245760548,3171.0429919466,708.122984836775,1859.3911064728,New confirmed cases by infection date,Unsure
Germany,135.489256226653,3117.34561516824,439.589737567535,1372.86024305329,New confirmed cases by infection date,Unsure
Congo - Brazzaville,0.00177132134819508,3054.46595443865,0.00177132134819508,282.625884180966,New confirmed cases by infection date,Unsure
Costa Rica,622.686213984136,2760.01197746919,966.136296287346,1789.09812952899,New confirmed cases by infection date,Likely increasing
Panama,584.905669749378,2570.50154940576,874.380368892521,1575.09007698972,New confirmed cases by infection date,Unsure
Cuba,6.91285575310592,2499.38827488182,13.9772453814784,449.623028688574,New confirmed cases by infection date,Increasing
Turkey,380.082121808884,2440.9412072606,805.156026842438,1530.36194932903,New confirmed cases by infection date,Unsure
Pakistan,53.8982184625379,2396.89370217749,351.858201192481,1147.65625205433,New confirmed cases by infection date,Unsure
Venezuela,267.519773289514,2366.03386283567,797.825768228134,1577.72590289734,New confirmed cases by infection date,Likely increasing
United Kingdom,46.7337707093468,2325.49753032178,366.552243743623,1060.98979805876,New confirmed cases by infection date,Unsure
Algeria,73.9647459808216,2310.2459523422,350.269857013756,1222.90731767607,New confirmed cases by infection date,Unsure
Puerto Rico,120.37403357325,2293.40486683177,541.233224641378,1136.93364058145,New confirmed cases by infection date,Likely increasing
United Arab Emirates,51.8302648465245,2271.01528003576,182.686990650549,796.352293821846,New confirmed cases by infection date,Unsure
Botswana,0.00454812775068664,2254.76204987982,0.00454812775068664,149.017056781987,New confirmed cases by infection date,Unsure
Singapore,179.688437912935,2178.04861480162,343.072168646526,953.453773985303,New confirmed cases by infection date,Likely increasing
