country,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Afghanistan,2020-04-27,nowcast,1.2,0.7,1.8,0.9,1.3,0.29
Afghanistan,2020-04-28,nowcast,1.1,0.6,1.7,0.9,1.3,0.32
Afghanistan,2020-04-29,nowcast,1.1,0.6,1.7,0.9,1.3,0.32
Afghanistan,2020-04-30,nowcast,1.1,0.6,1.7,0.9,1.3,0.34
Afghanistan,2020-05-01,nowcast,1.1,0.6,1.6,0.9,1.3,0.34
Afghanistan,2020-05-02,nowcast,1.1,0.6,1.6,0.9,1.3,0.35
Afghanistan,2020-05-03,nowcast,1.1,0.6,1.6,0.9,1.2,0.36
Afghanistan,2020-05-04,nowcast,1.1,0.6,1.6,0.9,1.2,0.36
Afghanistan,2020-05-05,nowcast,1.1,0.6,1.6,0.9,1.2,0.36
Afghanistan,2020-05-06,nowcast,1.1,0.7,1.6,0.9,1.3,0.35
Afghanistan,2020-05-07,nowcast,1.1,0.6,1.6,0.9,1.3,0.34
Afghanistan,2020-05-08,nowcast,1.1,0.6,1.6,0.9,1.2,0.35
Afghanistan,2020-05-09,nowcast,1.1,0.6,1.6,0.9,1.3,0.34
Afghanistan,2020-05-10,nowcast,1.1,0.6,1.6,0.9,1.2,0.35
Afghanistan,2020-05-11,nowcast,1.1,0.6,1.6,0.9,1.2,0.36
Afghanistan,2020-05-12,nowcast,1.1,0.7,1.6,0.9,1.2,0.37
Afghanistan,2020-05-13,nowcast,1.1,0.6,1.6,0.9,1.2,0.35
Afghanistan,2020-05-14,nowcast,1.1,0.6,1.5,0.9,1.2,0.35
Afghanistan,2020-05-15,nowcast,1.1,0.7,1.6,0.9,1.2,0.34
Afghanistan,2020-05-16,nowcast,1.1,0.7,1.6,0.9,1.2,0.34
Afghanistan,2020-05-17,nowcast,1.1,0.7,1.6,0.9,1.3,0.31
Afghanistan,2020-05-18,nowcast,1.1,0.7,1.6,1,1.3,0.28
Afghanistan,2020-05-19,nowcast,1.1,0.7,1.6,1,1.3,0.27
Afghanistan,2020-05-20,nowcast,1.1,0.8,1.6,0.9,1.3,0.27
Afghanistan,2020-05-21,nowcast,1.2,0.8,1.6,1,1.3,0.23
Afghanistan,2020-05-22,nowcast,1.2,0.8,1.6,1,1.3,0.21
Afghanistan,2020-05-23,nowcast,1.2,0.8,1.6,1,1.3,0.2
Afghanistan,2020-05-24,nowcast,1.2,0.8,1.6,1,1.3,0.17
Afghanistan,2020-05-25,nowcast,1.2,0.8,1.6,1,1.3,0.2
Afghanistan,2020-05-26,nowcast,1.2,0.8,1.6,1,1.3,0.17
Afghanistan,2020-05-27,nowcast,1.2,0.8,1.6,1,1.3,0.18
Afghanistan,2020-05-28,nowcast,1.2,0.8,1.6,1,1.3,0.19
Afghanistan,2020-05-29,nowcast,1.2,0.8,1.5,1,1.3,0.21
Afghanistan,2020-05-30,nowcast,1.2,0.8,1.5,1,1.3,0.21
Afghanistan,2020-05-31,nowcast,1.1,0.8,1.5,1,1.2,0.21
Afghanistan,2020-06-01,nowcast,1.1,0.8,1.5,1,1.3,0.25
Afghanistan,2020-06-02,nowcast,1.1,0.8,1.4,1,1.2,0.25
Afghanistan,2020-06-03,nowcast,1.1,0.8,1.4,1,1.2,0.29
Afghanistan,2020-06-04,nowcast,1.1,0.7,1.4,1,1.2,0.33
Afghanistan,2020-06-05,nowcast,1.1,0.7,1.4,1,1.2,0.34
Afghanistan,2020-06-06,nowcast,1.1,0.7,1.4,0.9,1.2,0.38
Afghanistan,2020-06-07,nowcast,1.1,0.8,1.4,0.9,1.2,0.38
Afghanistan,2020-06-08,nowcast,1,0.7,1.3,0.9,1.1,0.4
Afghanistan,2020-06-09,nowcast,1,0.7,1.4,0.9,1.1,0.39
Afghanistan,2020-06-10,nowcast,1.1,0.7,1.4,0.9,1.2,0.39
Afghanistan,2020-06-11,nowcast,1.1,0.7,1.3,0.9,1.1,0.37
Afghanistan,2020-06-12,nowcast,1.1,0.7,1.3,0.9,1.1,0.36
Afghanistan,2020-06-13,nowcast,1,0.8,1.4,0.9,1.1,0.37
Afghanistan,2020-06-14,nowcast,1.1,0.8,1.4,0.9,1.1,0.37
Afghanistan,2020-06-15,nowcast,1.1,0.8,1.4,0.9,1.2,0.35
Afghanistan,2020-06-16,nowcast,1.1,0.8,1.3,1,1.2,0.36
Afghanistan,2020-06-17,nowcast,1.1,0.8,1.3,0.9,1.1,0.37
Afghanistan,2020-06-18,nowcast,1.1,0.8,1.3,0.9,1.1,0.36
Afghanistan,2020-06-19,nowcast,1.1,0.8,1.4,0.9,1.2,0.35
Afghanistan,2020-06-20,nowcast,1,0.8,1.3,0.9,1.2,0.37
Afghanistan,2020-06-21,nowcast,1.1,0.8,1.3,0.9,1.1,0.37
Afghanistan,2020-06-22,nowcast,1,0.8,1.3,0.9,1.2,0.38
Afghanistan,2020-06-23,nowcast,1.1,0.8,1.3,0.9,1.1,0.36
Afghanistan,2020-06-24,nowcast,1.1,0.8,1.3,1,1.2,0.35
Afghanistan,2020-06-25,nowcast,1,0.8,1.3,0.9,1.1,0.35
Afghanistan,2020-06-26,nowcast,1.1,0.8,1.3,0.9,1.2,0.36
Afghanistan,2020-06-27,nowcast,1.1,0.8,1.3,0.9,1.1,0.37
Afghanistan,2020-06-28,nowcast,1.1,0.8,1.3,0.9,1.1,0.36
Afghanistan,2020-06-29,nowcast,1,0.8,1.4,0.9,1.1,0.37
Afghanistan,2020-06-30,nowcast,1,0.8,1.3,0.9,1.1,0.37
Afghanistan,2020-07-01,nowcast,1,0.8,1.3,0.9,1.1,0.39
Afghanistan,2020-07-02,nowcast,1,0.8,1.3,0.9,1.1,0.41
Afghanistan,2020-07-03,nowcast,1,0.7,1.3,0.9,1.1,0.42
Afghanistan,2020-07-04,nowcast,1,0.8,1.3,0.9,1.1,0.42
Afghanistan,2020-07-05,nowcast,1,0.8,1.3,0.9,1.1,0.4
Afghanistan,2020-07-06,nowcast,1,0.8,1.3,0.9,1.2,0.39
Afghanistan,2020-07-07,nowcast,1.1,0.8,1.4,0.9,1.2,0.36
Afghanistan,2020-07-08,nowcast,1.1,0.8,1.4,0.9,1.2,0.31
Afghanistan,2020-07-09,forecast,1.1,0.7,1.4,0.9,1.2,0.37
Afghanistan,2020-07-10,forecast,1.1,0.7,1.4,0.9,1.2,0.35
Afghanistan,2020-07-11,forecast,1.1,0.7,1.5,0.9,1.2,0.37
Afghanistan,2020-07-12,forecast,1.1,0.6,1.5,0.9,1.2,0.37
Afghanistan,2020-07-13,forecast,1.1,0.6,1.5,0.9,1.3,0.39
Afghanistan,2020-07-14,forecast,1.1,0.6,1.5,0.9,1.2,0.38
Afghanistan,2020-07-15,forecast,1.1,0.6,1.5,0.9,1.2,0.39
Afghanistan,2020-07-16,forecast,1.1,0.6,1.6,0.9,1.2,0.39
Afghanistan,2020-07-17,forecast,1.1,0.6,1.6,0.9,1.2,0.39
Afghanistan,2020-07-18,forecast,1.1,0.5,1.6,0.9,1.2,0.38
Afghanistan,2020-07-19,forecast,1.1,0.6,1.6,0.8,1.2,0.4
Afghanistan,2020-07-20,forecast,1.1,0.5,1.6,0.8,1.2,0.41
Afghanistan,2020-07-21,forecast,1.1,0.5,1.6,0.9,1.3,0.42
Afghanistan,2020-07-22,forecast,1.1,0.5,1.6,0.9,1.3,0.4
Algeria,2020-03-22,nowcast,1.3,0.9,1.8,1.1,1.5,0.11
Algeria,2020-03-23,nowcast,1.3,0.9,1.8,1.1,1.4,0.11
Algeria,2020-03-24,nowcast,1.3,0.8,1.7,1.1,1.4,0.12
Algeria,2020-03-25,nowcast,1.3,0.8,1.7,1.1,1.4,0.13
Algeria,2020-03-26,nowcast,1.2,0.8,1.7,1.1,1.4,0.16
Algeria,2020-03-27,nowcast,1.2,0.8,1.6,1,1.3,0.17
Algeria,2020-03-28,nowcast,1.2,0.8,1.6,1,1.3,0.22
Algeria,2020-03-29,nowcast,1.1,0.8,1.5,1,1.3,0.26
Algeria,2020-03-30,nowcast,1.1,0.7,1.4,1,1.3,0.31
Algeria,2020-03-31,nowcast,1,0.7,1.4,0.9,1.2,0.43
Algeria,2020-04-01,nowcast,1,0.6,1.3,0.9,1.2,0.5
Algeria,2020-04-02,nowcast,1,0.6,1.3,0.8,1.1,0.58
Algeria,2020-04-03,nowcast,0.9,0.6,1.3,0.8,1.1,0.66
Algeria,2020-04-04,nowcast,0.9,0.6,1.2,0.8,1,0.73
Algeria,2020-04-05,nowcast,0.9,0.6,1.2,0.7,1,0.78
Algeria,2020-04-06,nowcast,0.8,0.5,1.1,0.8,1,0.81
Algeria,2020-04-07,nowcast,0.8,0.5,1.1,0.7,1,0.84
Algeria,2020-04-08,nowcast,0.8,0.5,1.1,0.7,0.9,0.85
Algeria,2020-04-09,nowcast,0.8,0.5,1.1,0.7,0.9,0.87
Algeria,2020-04-10,nowcast,0.8,0.5,1.1,0.7,0.9,0.87
Algeria,2020-04-11,nowcast,0.8,0.5,1.1,0.7,0.9,0.88
Algeria,2020-04-12,nowcast,0.8,0.5,1.1,0.7,0.9,0.87
Algeria,2020-04-13,nowcast,0.8,0.5,1.2,0.6,0.9,0.84
Algeria,2020-04-14,nowcast,0.8,0.5,1.1,0.7,0.9,0.84
Algeria,2020-04-15,nowcast,0.8,0.4,1.2,0.6,0.9,0.8
Algeria,2020-04-16,nowcast,0.8,0.4,1.2,0.7,0.9,0.77
Algeria,2020-04-17,nowcast,0.8,0.5,1.3,0.7,1,0.75
Algeria,2020-04-18,nowcast,0.9,0.5,1.3,0.7,1,0.71
Algeria,2020-04-19,nowcast,0.9,0.4,1.3,0.7,1,0.7
Algeria,2020-04-20,nowcast,0.9,0.5,1.4,0.7,1,0.68
Algeria,2020-04-21,nowcast,0.9,0.5,1.4,0.7,1,0.62
