country,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Afghanistan,2020-01-27,1,1,1,1,1,1
Afghanistan,2020-01-28,0,0,0,0,0,1
Afghanistan,2020-01-29,1,1,1,1,1,1
Afghanistan,2020-01-30,0,0,0,0,0,1
Afghanistan,2020-01-31,0,0,0,0,0,1
Afghanistan,2020-02-01,0,0,0,0,0,1
Afghanistan,2020-02-02,0,0,1,0,0,1
Afghanistan,2020-02-03,0,0,1,0,0,1
Afghanistan,2020-02-04,0,0,1,0,0,1
Afghanistan,2020-02-05,0,0,1,0,0,1
Afghanistan,2020-02-06,0,0,1,0,0,1
Afghanistan,2020-02-07,0,0,1,0,0,1
Afghanistan,2020-02-08,0,0,1,0,0,1
Afghanistan,2020-02-09,0,0,1,0,0,1
Afghanistan,2020-02-10,0,0,1,0,0,1
Afghanistan,2020-02-11,0,0,1,0,0,1
Afghanistan,2020-02-12,0,0,1,0,0,1
Afghanistan,2020-02-13,0,0,1,0,0,1
Afghanistan,2020-02-14,0,0,1,0,0,1
Afghanistan,2020-02-15,0,0,1,0,0,1
Afghanistan,2020-02-16,0,0,1,0,0,1
Afghanistan,2020-02-17,0,0,1,0,0,1
Afghanistan,2020-02-18,0,0,1,0,0,1
Afghanistan,2020-02-19,0,0,1,0,0,1
Afghanistan,2020-02-20,0,0,1,0,0,1
Afghanistan,2020-02-21,0,0,1,0,0,1
Afghanistan,2020-02-22,0,0,1,0,0,1
Afghanistan,2020-02-23,0,0,1,0,0,1
Afghanistan,2020-02-24,0,0,1,0,0,1
Afghanistan,2020-02-25,0,0,1,0,0,1
Afghanistan,2020-02-26,0,0,1,0,0,1
Afghanistan,2020-02-27,0,0,1,0,0,1
Afghanistan,2020-02-28,0,0,1,0,0,1
Afghanistan,2020-02-29,0,0,1,0,0,1
Afghanistan,2020-03-01,0,0,1,0,0,1
Afghanistan,2020-03-02,0,0,1,0,0,1
Afghanistan,2020-03-03,0,0,1,0,0,1
Afghanistan,2020-03-04,0,0,1,0,0,1
Afghanistan,2020-03-05,0,0,1,0,0,1
Afghanistan,2020-03-06,0,0,1,0,0,1
Afghanistan,2020-03-07,0,0,1,0,0,1
Afghanistan,2020-03-08,0,0,1,0,0,1
Afghanistan,2020-03-09,0,0,1,0,0,1
Afghanistan,2020-03-10,0,0,1,0,0,1
Afghanistan,2020-03-11,0,0,1,0,0,1
Afghanistan,2020-03-12,0,0,1,0,0,1
Afghanistan,2020-03-13,0,0,1,0,0,1
Afghanistan,2020-03-14,0,0,2,0,0,1
Afghanistan,2020-03-15,1,0,2,0,1,1
Afghanistan,2020-03-16,1,0,2,0,1,1
Afghanistan,2020-03-17,1,0,2,0,1,1
Afghanistan,2020-03-18,1,0,2,0,1,1
Afghanistan,2020-03-19,1,0,2,0,1,1
Afghanistan,2020-03-20,1,0,2,0,1,1
Afghanistan,2020-03-21,1,0,2,0,1,1
Afghanistan,2020-03-22,1,0,3,0,1,1
Afghanistan,2020-03-23,1,0,3,0,1,1
Afghanistan,2020-03-24,1,0,3,0,1,1
Afghanistan,2020-03-25,1,0,3,0,1,1
Afghanistan,2020-03-26,2,0,3,1,2,1
Afghanistan,2020-03-27,2,0,4,1,2,1
Afghanistan,2020-03-28,2,0,4,1,2,1
Afghanistan,2020-03-29,2,0,4,1,2,1
Afghanistan,2020-03-30,2,0,4,1,2,1
Afghanistan,2020-03-31,2,0,4,1,2,1
Afghanistan,2020-04-01,2,0,4,0,2,1
Afghanistan,2020-04-02,2,0,4,0,2,1
Afghanistan,2020-04-03,2,0,5,0,2,1
Afghanistan,2020-04-04,2,0,5,0,2,1
Afghanistan,2020-04-05,3,0,5,1,3,1
Afghanistan,2020-04-06,3,0,5,1,3,1
Afghanistan,2020-04-07,3,0,5,1,3,1
Afghanistan,2020-04-08,3,0,5,1,3,1
Afghanistan,2020-04-09,3,0,5,1,3,1
Afghanistan,2020-04-10,3,1,6,1,3,1
Afghanistan,2020-04-11,3,1,6,1,3,1
Afghanistan,2020-04-12,3,1,6,1,3,1
Afghanistan,2020-04-13,3,0,6,2,4,1
Afghanistan,2020-04-14,4,0,6,2,4,1
Afghanistan,2020-04-15,4,1,7,2,4,1
Afghanistan,2020-04-16,4,1,7,2,4,1
Afghanistan,2020-04-17,4,1,7,3,5,1
Afghanistan,2020-04-18,5,2,8,3,5,1
Afghanistan,2020-04-19,5,2,8,3,5,1
Afghanistan,2020-04-20,5,1,8,2,5,1
Afghanistan,2020-04-21,5,2,9,4,6,1
Afghanistan,2020-04-22,5,1,8,4,6,1
Afghanistan,2020-04-23,5,2,9,4,6,1
Afghanistan,2020-04-24,5,2,9,3,6,1
Afghanistan,2020-04-25,6,2,9,3,6,1
Afghanistan,2020-04-26,6,3,10,3,6,1
Afghanistan,2020-04-27,6,2,10,4,7,1
Afghanistan,2020-04-28,6,2,10,3,6,1
Afghanistan,2020-04-29,6,2,10,4,7,1
Afghanistan,2020-04-30,6,2,10,4,7,1
Afghanistan,2020-05-01,6,2,10,4,7,1
Afghanistan,2020-05-02,7,3,10,4,7,1
Afghanistan,2020-05-03,7,2,11,4,7,1
Afghanistan,2020-05-04,7,3,11,4,7,1
Afghanistan,2020-05-05,7,3,11,5,8,1
Afghanistan,2020-05-06,7,3,11,5,8,1
Afghanistan,2020-05-07,8,3,12,5,8,1
Afghanistan,2020-05-08,8,3,12,6,9,1
Afghanistan,2020-05-09,8,3,12,4,8,1
Afghanistan,2020-05-10,8,3,12,6,9,1
Afghanistan,2020-05-11,8,3,12,6,9,1
Afghanistan,2020-05-12,8,4,13,5,9,1
Afghanistan,2020-05-13,8,4,13,7,10,1
Afghanistan,2020-05-14,9,4,13,7,10,1
Afghanistan,2020-05-15,9,4,13,5,9,1
Afghanistan,2020-05-16,9,5,14,5,9,1
Afghanistan,2020-05-17,10,4,14,6,10,1
Afghanistan,2020-05-18,10,4,14,6,10,1
Afghanistan,2020-05-19,11,5,15,7,11,1
Afghanistan,2020-05-20,11,5,16,8,12,1
Afghanistan,2020-05-21,12,6,17,9,13,1
Afghanistan,2020-05-22,12,5,17,9,13,1
Afghanistan,2020-05-23,13,6,18,8,13,1
Afghanistan,2020-05-24,14,7,19,9,14,1
Afghanistan,2020-05-25,14,8,20,10,15,1
Afghanistan,2020-05-26,15,9,21,11,16,1
Afghanistan,2020-05-27,15,9,21,11,16,1
Afghanistan,2020-05-28,16,9,22,12,17,1
Afghanistan,2020-05-29,16,9,22,12,17,1
Afghanistan,2020-05-30,16,9,22,12,17,1
Afghanistan,2020-05-31,17,10,23,13,18,1
Afghanistan,2020-06-01,17,11,24,13,18,1
Afghanistan,2020-06-02,17,11,24,13,18,1
Afghanistan,2020-06-03,18,12,25,14,19,1
Afghanistan,2020-06-04,18,10,23,14,19,1
Afghanistan,2020-06-05,18,11,24,14,19,1
Afghanistan,2020-06-06,18,10,23,14,19,1
Afghanistan,2020-06-07,18,10,24,15,20,1
Afghanistan,2020-06-08,18,11,23,14,19,0.99
Afghanistan,2020-06-09,18,11,25,15,20,0.99
Afghanistan,2020-06-10,19,12,25,15,20,0.99
Afghanistan,2020-06-11,19,11,25,16,21,0.99
Afghanistan,2020-06-12,19,12,25,16,21,0.99
Afghanistan,2020-06-13,19,12,26,14,20,0.99
Afghanistan,2020-06-14,20,12,26,16,21,0.98
Afghanistan,2020-06-15,20,12,27,15,21,0.98
Afghanistan,2020-06-16,20,13,27,15,21,0.98
Afghanistan,2020-06-17,21,13,27,15,21,0.97
Afghanistan,2020-06-18,21,13,27,16,22,0.97
Afghanistan,2020-06-19,21,14,28,16,22,0.96
Afghanistan,2020-06-20,21,13,28,16,22,0.96
Afghanistan,2020-06-21,22,14,28,19,24,0.95
Afghanistan,2020-06-22,22,14,29,17,23,0.94
Afghanistan,2020-06-23,22,14,29,17,23,0.94
Afghanistan,2020-06-24,22,14,29,18,24,0.93
Afghanistan,2020-06-25,23,14,29,18,24,0.92
Afghanistan,2020-06-26,23,15,30,17,23,0.9
Afghanistan,2020-06-27,23,16,31,18,24,0.89
Afghanistan,2020-06-28,23,16,32,17,24,0.88
Afghanistan,2020-06-29,24,16,32,20,26,0.86
Afghanistan,2020-06-30,24,14,31,19,26,0.84
Afghanistan,2020-07-01,24,15,32,18,25,0.82
Afghanistan,2020-07-02,23,14,32,17,24,0.79
Afghanistan,2020-07-03,24,15,33,17,25,0.77
Afghanistan,2020-07-04,24,14,33,19,26,0.74
Afghanistan,2020-07-05,24,15,35,18,26,0.7
Afghanistan,2020-07-06,25,14,36,17,26,0.66
Afghanistan,2020-07-07,26,14,38,19,28,0.62
Afghanistan,2020-07-08,27,15,39,20,29,0.58
Algeria,2020-01-15,1,1,1,1,1,1
Algeria,2020-01-16,0,0,0,0,0,1
Algeria,2020-01-17,0.5,0,1,0,1,1
Algeria,2020-01-18,0,0,0,0,0,1
Algeria,2020-01-19,0,0,1,0,0,1
Algeria,2020-01-20,0,0,1,0,0,1
Algeria,2020-01-21,0,0,1,0,0,1
Algeria,2020-01-22,0,0,1,0,0,1
Algeria,2020-01-23,0,0,1,0,0,1
Algeria,2020-01-24,1,0,1,1,1,1
Algeria,2020-01-25,0,0,1,0,0,1
Algeria,2020-01-26,0,0,1,0,0,1
Algeria,2020-01-27,0,0,1,0,0,1
Algeria,2020-01-28,0,0,1,0,0,1
Algeria,2020-01-29,0,0,1,0,0,1
Algeria,2020-01-30,0,0,1,0,0,1
Algeria,2020-01-31,0,0,1,0,0,1
Algeria,2020-02-01,0,0,1,0,0,1
Algeria,2020-02-02,0,0,1,0,0,1
Algeria,2020-02-03,0,0,1,0,0,1
Algeria,2020-02-04,0,0,1,0,0,1
Algeria,2020-02-05,0,0,1,0,0,1
Algeria,2020-02-06,0,0,1,0,0,1
Algeria,2020-02-07,0,0,1,0,0,1
Algeria,2020-02-08,0,0,1,0,0,1
Algeria,2020-02-09,0,0,1,0,0,1
Algeria,2020-02-10,0,0,1,0,0,1
Algeria,2020-02-11,0,0,1,0,0,1
Algeria,2020-02-12,0,0,1,0,0,1
Algeria,2020-02-13,0,0,1,0,0,1
Algeria,2020-02-14,0,0,1,0,0,1
Algeria,2020-02-15,0,0,1,0,0,1
Algeria,2020-02-16,0,0,1,0,0,1
Algeria,2020-02-17,0,0,1,0,0,1
Algeria,2020-02-18,0,0,1,0,0,1
Algeria,2020-02-19,0,0,2,0,0,1
Algeria,2020-02-20,0,0,2,0,0,1
Algeria,2020-02-21,1,0,2,0,1,1
Algeria,2020-02-22,1,0,2,0,1,1
Algeria,2020-02-23,1,0,2,0,1,1
Algeria,2020-02-24,1,0,2,0,1,1
Algeria,2020-02-25,1,0,3,0,1,1
Algeria,2020-02-26,1,0,3,0,1,1
Algeria,2020-02-27,1,0,3,0,1,1
Algeria,2020-02-28,1,0,3,0,1,1
Algeria,2020-02-29,2,0,4,1,2,1
Algeria,2020-03-01,2,0,4,0,2,1
Algeria,2020-03-02,2,0,5,0,2,1
Algeria,2020-03-03,2,0,5,0,2,1
Algeria,2020-03-04,3,0,5,1,3,1
Algeria,2020-03-05,3,0,6,1,3,1
Algeria,2020-03-06,3,0,6,2,4,1
Algeria,2020-03-07,4,1,7,2,4,1
Algeria,2020-03-08,4,1,8,1,4,1
Algeria,2020-03-09,5,1,8,2,5,1
Algeria,2020-03-10,5,2,9,2,5,1
Algeria,2020-03-11,6,2,9,3,6,1
Algeria,2020-03-12,6,2,10,4,7,1
Algeria,2020-03-13,7,3,11,4,7,1
Algeria,2020-03-14,8,3,12,5,8,1
Algeria,2020-03-15,8,4,13,4,8,1
Algeria,2020-03-16,9,4,13,5,9,1
Algeria,2020-03-17,9,4,14,6,10,1
Algeria,2020-03-18,10,5,15,6,10,1
Algeria,2020-03-19,11,5,16,8,12,1
Algeria,2020-03-20,12,7,17,9,13,1
Algeria,2020-03-21,13,8,19,10,14,1
Algeria,2020-03-22,13,7,18,8,13,1
Algeria,2020-03-23,14,8,20,12,16,1
Algeria,2020-03-24,15,9,21,10,15,1
Algeria,2020-03-25,15,9,21,11,16,1
Algeria,2020-03-26,16,9,21,14,18,1
Algeria,2020-03-27,16,9,21,12,17,1
Algeria,2020-03-28,16,9,22,13,18,1
Algeria,2020-03-29,16,9,22,12,17,1
Algeria,2020-03-30,15,9,21,11,16,1
Algeria,2020-03-31,14,8,20,10,15,1
Algeria,2020-04-01,14,8,20,10,15,1
Algeria,2020-04-02,13,6,18,9,14,1
Algeria,2020-04-03,12,6,17,9,13,1
Algeria,2020-04-04,12,6,17,9,13,1
Algeria,2020-04-05,11,6,16,8,12,1
Algeria,2020-04-06,10,5,15,7,11,1
Algeria,2020-04-07,10,4,14,6,10,1
Algeria,2020-04-08,9,4,13,7,10,1
Algeria,2020-04-09,8,3,12,6,9,1
Algeria,2020-04-10,8,4,12,6,9,1
Algeria,2020-04-11,7,3,11,5,8,1
Algeria,2020-04-12,7,3,11,4,7,1
Algeria,2020-04-13,7,2,10,4,7,1
Algeria,2020-04-14,6,3,10,4,7,1
Algeria,2020-04-15,6,2,10,3,6,1
Algeria,2020-04-16,6,3,10,4,7,1
Algeria,2020-04-17,6,2,9,3,6,1
Algeria,2020-04-18,6,2,9,3,6,1
Algeria,2020-04-19,6,2,9,3,6,1
Algeria,2020-04-20,6,1,9,3,6,1
Algeria,2020-04-21,6,1,9,3,6,1
Algeria,2020-04-22,6,2,9,3,6,1
Algeria,2020-04-23,6,2,9,3,6,1
Algeria,2020-04-24,6,2,9,3,6,1
Algeria,2020-04-25,6,3,10,3,6,1
Algeria,2020-04-26,6,3,10,3,6,1
Algeria,2020-04-27,6,3,10,3,6,1
Algeria,2020-04-28,6,2,10,4,7,1
Algeria,2020-04-29,6,3,10,3,6,1
Algeria,2020-04-30,6,2,10,4,7,1
Algeria,2020-05-01,7,2,10,4,7,1
Algeria,2020-05-02,7,3,11,4,7,1
